station,date,tair,twet,rh,tdew
22719,20120103:1900,19.7,16.8,73,14.7
22719,20120103:2000,19,16.6,77,14.9
22719,20120103:2100,18.7,16.6,80,15.2
22719,20120103:2200,18.5,16.5,81,15.2
22719,20120103:2300,18.2,16.5,83,15.3
22719,20120104:0000,17.5,16,85,15
22719,20120104:0100,17.8,16.3,85,15.3
22719,20120104:0200,17.8,16.3,85,15.3
22719,20120104:0300,17.8,16.2,84,15.1
22719,20120104:0400,17.7,16.2,85,15.1
22719,20120104:0500,18,16.2,82,14.9
22719,20120104:0600,18.4,16.6,82,15.3
22719,20120104:0700,18.9,16.8,80,15.4
22719,20120104:0800,19,17.2,83,16.1
22719,20120104:0900,19.9,17.8,80,16.4
22719,20120104:1000,18.8,17.6,88,16.8
22719,20120104:1100,21.2,19,80,17.6
22719,20120104:1200,21,18.4,77,16.8
22719,20120104:1300,21.6,18.8,75,17
22719,20120104:1400,19.9,18,82,16.7
22719,20120104:1500,19.5,17.9,85,16.9
22719,20120104:1600,20,18.2,83,17
22719,20120104:1700,20.9,18.9,82,17.7
22719,20120104:1800,20.4,18.2,80,16.8
22719,20120104:1900,19.7,17.9,83,16.7
22719,20120104:2000,19.1,17.9,88,17.1
22719,20120104:2100,18.7,17.8,91,17.2
22719,20120104:2200,18.7,17.7,90,17
22719,20120104:2300,18.3,17.3,90,16.6
22719,20120105:0000,18.1,17.1,90,16.4
22719,20120105:0100,18,16.9,89,16.2
22719,20120105:0200,17.9,16.9,90,16.3
22719,20120105:0300,17.6,16.6,90,16
22719,20120105:0400,17.6,16.7,91,16.1
22719,20120105:0500,17.7,16.7,90,16
22719,20120105:0600,17.5,16.7,92,16.2
22719,20120105:0700,17.8,16.8,90,16.1
22719,20120105:0800,18.6,16.8,82,15.5
22719,20120105:0900,19.5,17.2,78,15.6
22719,20120105:1000,20.6,17.2,70,14.9
22719,20120105:1100,21.8,18.2,69,15.9
22719,20120105:1200,22.7,18.1,62,15.1
22719,20120105:1300,21.5,17.4,65,14.7
22719,20120105:1400,21.3,17.4,66,14.7
22719,20120105:1500,22.5,18.2,64,15.4
22719,20120105:1600,22,18,66,15.4
22719,20120105:1700,21.1,17.5,68,15
22719,20120105:1800,20.8,17.1,67,14.5
22719,20120105:1900,20.2,16.8,69,14.4
22719,20120105:2000,18.9,16.3,75,14.4
22719,20120105:2100,18.8,16.3,76,14.5
22719,20120105:2200,17.7,15.6,79,14
22719,20120105:2300,16.5,15.1,85,14
22719,20120106:0000,16.7,15.5,87,14.5
22719,20120106:0100,16.8,15.1,83,13.9
22719,20120106:0200,16.5,15,84,13.8
22719,20120106:0300,15.6,14.4,87,13.5
22719,20120106:0400,16.2,14.8,85,13.7
22719,20120106:0500,16,14.3,82,12.9
22719,20120106:0600,16.3,14.8,84,13.6
22719,20120106:0700,17.9,14.5,67,11.7
22719,20120106:0800,19.5,16.3,70,13.9
22719,20120106:0900,20,16.8,71,14.6
22719,20120106:1000,21.4,17.6,67,15
22719,20120106:1100,22.2,18.1,65,15.3
22719,20120106:1200,22.9,18.8,66,16.2
22719,20120106:1300,23.8,18,54,14
22719,20120106:1400,23.2,18.4,61,15.3
22719,20120106:1500,23.4,18,57,14.4
22719,20120106:1600,22.9,18,60,14.7
22719,20120106:1700,22.3,18.4,67,15.9
22719,20120106:1800,21.1,17.1,65,14.3
22719,20120106:1900,20.4,16.7,67,14.1
22719,20120106:2000,19.7,16.9,74,14.9
22719,20120106:2100,19.4,16.5,73,14.4
22719,20120106:2200,19.1,16.5,75,14.6
22719,20120106:2300,18.6,16.2,77,14.5
22719,20120107:0000,18.4,16.2,79,14.7
22719,20120107:0100,17.7,15.9,82,14.6
22719,20120107:0200,17.1,15.5,84,14.4
22719,20120107:0300,17,15.6,86,14.7
22719,20120107:0400,17.2,15.6,84,14.5
22719,20120107:0500,17.3,15.7,84,14.6
22719,20120107:0600,17.3,15.9,86,14.9
22719,20120107:0700,17,16,90,15.4
22719,20120107:0800,17.4,16.4,90,15.7
22719,20120107:0900,17.9,16.7,88,15.9
22719,20120107:1000,17.7,16.7,90,16
22719,20120107:1100,17.7,16.8,91,16.2
22719,20120107:1200,17.6,16.8,92,16.3
22719,20120107:1300,17.7,16.9,92,16.4
22719,20120107:1400,18,17.3,93,16.9
22719,20120107:1500,17.7,15.9,82,14.6
22719,20120107:1600,17.7,16.1,84,15
22719,20120107:1700,17.6,16,84,14.9
22719,20120107:1800,16.9,15.7,88,14.9
22719,20120107:1900,16.4,14.9,84,13.7
22719,20120107:2000,15.5,14.5,89,13.7
22719,20120107:2100,15.6,14.8,91,14.1
22719,20120107:2200,15.8,15.2,93,14.7
22719,20120107:2300,16,15.4,93,14.9
22719,20120108:0000,15.8,15.2,93,14.7
22719,20120108:0100,15.7,15.1,93,14.6
22719,20120108:0200,15.5,14.9,93,14.4
22719,20120108:0300,15.6,14.9,92,14.3
22719,20120108:0400,15.9,15.2,92,14.6
22719,20120108:0500,16,15.3,92,14.7
22719,20120108:0600,16.1,15.2,90,14.5
22719,20120108:0700,16.8,15.5,87,14.6
22719,20120108:0800,17.1,15.8,87,14.9
22719,20120108:0900,17.5,16.2,87,15.3
22719,20120108:1000,17.7,16.4,87,15.5
22719,20120108:1100,17.5,16.2,87,15.3
22719,20120108:1200,17.6,16.6,90,16
22719,20120108:1300,17.4,16.7,93,16.3
22719,20120108:1400,17.4,16.6,92,16.1
22719,20120108:1500,17.6,16.9,93,16.5
22719,20120108:1600,18.1,17.2,91,16.6
22719,20120108:1700,18.1,17.3,92,16.8
22719,20120108:1800,18.1,17.4,93,17
22719,20120108:1900,18,17.2,92,16.7
22719,20120108:2000,17.6,16.8,92,16.3
22719,20120108:2100,17.5,16.9,94,16.5
22719,20120108:2200,18.2,17.3,91,16.7
22719,20120108:2300,18,16.9,89,16.2
22719,20120109:0000,17.9,16.7,88,15.9
22719,20120109:0100,17.6,16.6,90,16
22719,20120109:0200,17.4,16.6,92,16.1
22719,20120109:0300,17.5,16.6,91,16
22719,20120109:0400,17.6,16.7,91,16.1
22719,20120109:0500,17.5,16.7,92,16.2
22719,20120109:0600,18,16.9,89,16.2
22719,20120109:0700,19.6,17.9,84,16.8
22719,20120109:0800,19.9,18.1,83,16.9
22719,20120109:0900,20.9,18.2,76,16.5
22719,20120109:1000,20.9,17.6,71,15.4
22719,20120109:1100,21.2,18,72,16
22719,20120109:1200,21.7,18.2,70,16
22719,20120109:1300,21.8,18.3,70,16.1
22719,20120109:1400,22,18.1,67,15.6
22719,20120109:1500,22.1,18.5,69,16.1
22719,20120109:1600,21.8,17.8,66,15.2
22719,20120109:1700,20.7,17.6,72,15.5
22719,20120109:1800,20.6,17.7,74,15.8
22719,20120109:1900,20.2,17.4,74,15.4
22719,20120109:2000,19.6,17.1,77,15.5
22719,20120109:2100,18.5,17.3,88,16.5
22719,20120109:2200,18.5,17.8,93,17.4
22719,20120109:2300,18.7,18.1,94,17.7
22719,20120110:0000,17.7,17.2,95,16.9
22719,20120110:0100,18,17.3,93,16.9
22719,20120110:0200,18,17.2,92,16.7
22719,20120110:0300,17.8,17,92,16.5
22719,20120110:0400,17.6,16.8,92,16.3
22719,20120110:0500,17.3,16.7,94,16.3
22719,20120110:0600,17.3,16.6,93,16.2
22719,20120110:0700,17.4,16.6,92,16.1
22719,20120110:0800,17.8,16.9,91,16.3
22719,20120110:0900,17.8,16.5,87,15.6
22719,20120110:1000,18.8,17,83,15.9
22719,20120110:1100,19,17.3,84,16.2
22719,20120110:1200,19.8,17.3,77,15.7
22719,20120110:1300,19.8,17.4,78,15.9
22719,20120110:1400,19.8,17.4,78,15.9
22719,20120110:1500,20.3,17.2,72,15.1
22719,20120110:1600,20.5,17.4,72,15.3
22719,20120110:1700,19.7,17.2,77,15.6
22719,20120110:1800,19.5,17.2,78,15.6
22719,20120110:1900,19,16.8,79,15.3
22719,20120110:2000,18.3,16.5,82,15.2
22719,20120110:2100,17.7,15.9,82,14.6
22719,20120110:2200,17.2,15.8,86,14.9
22719,20120110:2300,17.3,15.9,86,14.9
22719,20120111:0000,16.4,15.4,89,14.6
22719,20120111:0100,16,15.3,92,14.7
22719,20120111:0200,15.5,14.8,92,14.2
22719,20120111:0300,15.1,14.5,93,14
22719,20120111:0400,14.3,13.8,94,13.4
22719,20120111:0500,13.6,13.1,94,12.7
22719,20120111:0600,14.3,13.9,95,13.5
22719,20120111:0700,17.2,15.9,87,15
22719,20120111:0800,18.4,16.7,83,15.5
22719,20120111:0900,19.2,16.8,77,15.1
22719,20120111:1000,21.7,17.5,64,14.6
22719,20120111:1100,22.6,17.5,58,13.9
22719,20120111:1200,22.7,17.9,60,14.6
22719,20120111:1300,21.9,17.4,62,14.3
22719,20120111:1400,22.6,17.5,58,13.9
22719,20120111:1500,22.7,17.2,55,13.2
22719,20120111:1600,21.5,18.3,72,16.3
22719,20120111:1700,21.4,18.6,75,16.8
22719,20120111:1800,20.6,18.5,81,17.2
22719,20120111:1900,20.7,18.5,80,17.1
22719,20120111:2000,20.5,18.4,81,17.1
22719,20120111:2100,20.3,18.5,83,17.3
22719,20120111:2200,19.6,18.1,86,17.2
22719,20120111:2300,19.1,17.9,88,17.1
22719,20120112:0000,19.2,17.9,87,17
22719,20120112:0100,18.9,17.6,87,16.7
22719,20120112:0200,18.4,17.3,89,16.6
22719,20120112:0300,18,16.7,87,15.8
22719,20120112:0400,17.6,16.3,87,15.4
22719,20120112:0500,17.5,16.3,88,15.5
22719,20120112:0600,17.6,16.5,89,15.8
22719,20120112:0700,18.7,17.2,85,16.1
22719,20120112:0800,19.7,17.5,79,16
22719,20120112:0900,20.9,17.4,69,15
22719,20120112:1000,21.6,17.4,64,14.5
22719,20120112:1100,21.2,17.4,67,14.8
22719,20120112:1200,21.5,17.6,66,14.9
22719,20120112:1300,21.3,17.6,68,15.2
22719,20120112:1400,20.5,17.3,71,15.1
22719,20120112:1500,20.4,17.7,75,15.8
22719,20120112:1600,19.9,18.2,84,17.1
22719,20120112:1700,19.8,18.3,86,17.4
22719,20120112:1800,20,18.6,87,17.8
22719,20120112:1900,20.1,18.8,88,18.1
22719,20120112:2000,20.2,18.9,88,18.2
22719,20120112:2100,20.5,19.7,92,19.2
22719,20120112:2200,20.7,19.8,92,19.4
22719,20120112:2300,20.7,19.7,91,19.2
22719,20120113:0000,20.8,19.5,88,18.7
22719,20120113:0100,19.6,18.9,93,18.5
22719,20120113:0200,18.3,16.9,86,15.9
22719,20120113:0300,17.2,15.6,84,14.5
22719,20120113:0400,17.1,15.6,85,14.6
22719,20120113:0500,17.4,15.7,83,14.5
22719,20120113:0600,17.6,15.5,79,13.9
22719,20120113:0700,18.5,16.1,77,14.4
22719,20120113:0800,19.3,16.3,72,14.1
22719,20120113:0900,19.4,16.2,70,13.8
22719,20120113:1000,20.1,16.7,69,14.3
22719,20120113:1100,21.1,16.7,62,13.6
22719,20120113:1200,21.1,16.1,57,12.3
22719,20120113:1300,20.7,16.4,62,13.2
22719,20120113:1400,17.9,15.8,79,14.2
22719,20120113:1500,20.2,15.7,60,12.2
22719,20120113:1600,20.2,16.5,67,13.9
22719,20120113:1700,19.6,15.9,66,13.1
22719,20120113:1800,19.1,15.8,69,13.3
22719,20120113:1900,18.1,15.1,71,12.8
22719,20120113:2000,17.7,14.7,71,12.4
22719,20120113:2100,17.4,14.9,75,12.9
22719,20120113:2200,17.1,14.9,78,13.2
22719,20120113:2300,17.1,14.8,77,13
22719,20120114:0000,17.5,15,75,13
22719,20120114:0100,17.7,15.4,77,13.6
22719,20120114:0200,17.6,15.4,78,13.7
22719,20120114:0300,17.5,14.9,74,12.8
22719,20120114:0400,17.2,14.6,74,12.5
22719,20120114:0500,16.2,13.6,73,11.4
22719,20120114:0600,15.6,13.8,81,12.4
22719,20120114:0700,16.5,14.7,81,13.2
22719,20120114:0800,18.1,15.7,77,14
22719,20120114:0900,18.5,16,76,14.2
22719,20120114:1000,19.6,16.8,74,14.9
22719,20120114:1100,18.1,15.7,77,14
22719,20120114:1200,20.5,17.2,70,14.8
22719,20120114:1300,20.8,17.1,67,14.5
22719,20120114:1400,19.6,16.5,71,14.2
22719,20120114:1500,20.3,17.2,72,15.1
22719,20120114:1600,19.4,15.8,67,13.1
22719,20120114:1700,20.5,17.2,70,14.8
22719,20120114:1800,19,16,72,13.8
22719,20120114:1900,18.4,15.9,76,14.1
22719,20120114:2000,17.4,15.5,81,14.1
22719,20120114:2100,16.2,14.7,84,13.5
22719,20120114:2200,16.4,15,85,13.9
22719,20120114:2300,16.8,15.3,84,14.1
22719,20120115:0000,16.9,15.5,86,14.6
22719,20120115:0100,16.5,15.3,87,14.3
22719,20120115:0200,16.3,15.4,90,14.7
22719,20120115:0300,16,15.2,91,14.5
22719,20120115:0400,15.8,15,91,14.3
22719,20120115:0500,15.6,14.7,90,14
22719,20120115:0600,15.6,14.7,90,14
22719,20120115:0700,17,15.6,86,14.7
22719,20120115:0800,18.6,16.5,80,15.1
22719,20120115:0900,20,16.9,72,14.8
22719,20120115:1000,21,17.8,72,15.8
22719,20120115:1100,21.7,17.7,66,15.1
22719,20120115:1200,22.6,18.2,63,15.2
22719,20120115:1300,23,18.5,63,15.6
22719,20120115:1400,22.8,18.3,63,15.4
22719,20120115:1500,22,18,66,15.4
22719,20120115:1600,20.1,18.2,82,16.9
22719,20120115:1700,21.6,18.5,73,16.6
22719,20120115:1800,20.6,17.4,71,15.2
22719,20120115:1900,19.4,17.1,78,15.5
22719,20120115:2000,18.5,16,76,14.2
22719,20120115:2100,18,16.1,81,14.7
22719,20120115:2200,17.1,14.8,77,13
22719,20120115:2300,16.7,14.9,81,13.4
22719,20120116:0000,16.6,14.9,82,13.5
22719,20120116:0100,16.5,14.6,80,13
22719,20120116:0200,16.8,14.7,79,13.1
22719,20120116:0300,16.9,14.5,76,12.7
22719,20120116:0400,16.6,14.5,78,12.8
22719,20120116:0500,16.8,14.7,79,13.1
22719,20120116:0600,17.1,15.1,80,13.6
22719,20120116:0700,17.9,15.2,74,13.2
22719,20120116:0800,18.6,15.1,67,12.4
22719,20120116:0900,19.1,15.1,63,11.9
22719,20120116:1000,19.9,15.4,60,11.9
22719,20120116:1100,20.3,15.5,58,11.8
22719,20120116:1200,20.6,15.5,56,11.5
22719,20120116:1300,20.8,16.3,61,13
22719,20120116:1400,20.5,15.5,56,11.4
22719,20120116:1500,20.3,15.5,58,11.8
22719,20120116:1600,19.9,15.1,57,11.1
22719,20120116:1700,19,14.2,56,10.1
22719,20120116:1800,18.5,14.2,60,10.6
22719,20120116:1900,17.9,14.3,65,11.3
22719,20120116:2000,17.1,13.1,61,9.5
22719,20120116:2100,16.6,13.3,67,10.5
22719,20120116:2200,16.3,12.8,65,9.7
22719,20120116:2300,15.7,12.9,71,10.5
22719,20120117:0000,15.7,12.8,70,10.3
22719,20120117:0100,15.9,13,70,10.5
22719,20120117:0200,15.5,12.9,73,10.7
22719,20120117:0300,14.2,12.2,78,10.4
22719,20120117:0400,13.4,11.8,82,10.4
22719,20120117:0500,12.9,11.3,81,9.7
22719,20120117:0600,13.6,12.3,85,11.1
22719,20120117:0700,15.3,13.1,76,11.1
22719,20120117:0800,17.3,14.1,68,11.4
22719,20120117:0900,19.5,16.1,69,13.7
22719,20120117:1000,19.2,16.2,72,14.1
22719,20120117:1100,19.4,17.2,79,15.7
22719,20120117:1200,18.8,16.8,81,15.5
22719,20120117:1300,19.8,17.2,76,15.5
22719,20120117:1400,19.8,16.1,66,13.3
22719,20120117:1500,20,16.1,65,13.2
22719,20120117:1600,18.6,16.1,76,14.3
22719,20120117:1700,19.2,15.6,67,12.9
22719,20120117:1800,19.1,15.8,69,13.3
22719,20120117:1900,19,15.7,69,13.2
22719,20120117:2000,18.6,15.4,70,13
22719,20120117:2100,18.5,15.5,71,13.2
22719,20120117:2200,18.3,15.3,71,13
22719,20120117:2300,17.5,15,75,13
22719,20120118:0000,16.5,14.8,82,13.4
22719,20120118:0100,15.2,13.7,84,12.5
22719,20120118:0200,15.2,14,87,13.1
22719,20120118:0300,15,13.9,88,13
22719,20120118:0400,14.4,13.3,88,12.5
22719,20120118:0500,13.6,12.8,91,12.2
22719,20120118:0600,14.3,13.4,90,12.7
22719,20120118:0700,17.7,15.6,79,14
22719,20120118:0800,19.1,15.7,68,13.1
22719,20120118:0900,20,16.1,65,13.2
22719,20120118:1000,21,16.6,62,13.5
22719,20120118:1100,21.5,16.3,56,12.4
22719,20120118:1200,22.7,16.9,53,12.7
22719,20120118:1300,22.2,16.5,53,12.2
22719,20120118:1400,23.3,16.6,47,11.4
22719,20120118:1500,22.8,16.9,52,12.4
22719,20120118:1600,22.2,17,57,13.3
22719,20120118:1700,21.8,18,67,15.4
22719,20120118:1800,21.8,17.2,61,14
22719,20120118:1900,20.8,16.9,66,14.2
22719,20120118:2000,19.5,16.9,76,15.2
22719,20120118:2100,18.5,16.4,80,15
22719,20120118:2200,17.9,16.1,82,14.8
22719,20120118:2300,16.6,15.3,86,14.3
22719,20120119:0000,15.7,14.6,88,13.7
22719,20120119:0100,15.4,14.5,90,13.8
22719,20120119:0200,15.2,14.4,91,13.8
22719,20120119:0300,15.9,15.1,91,14.4
22719,20120119:0400,15.9,14.9,89,14.1
22719,20120119:0500,15.4,14.3,88,13.4
22719,20120119:0600,16,14.9,88,14
22719,20120119:0700,17.3,15.5,82,14.2
22719,20120119:0800,18.5,16,76,14.2
22719,20120119:0900,19.8,15.9,65,13.1
22719,20120119:1000,21.2,16.3,58,12.6
22719,20120119:1100,22.3,17.2,58,13.7
22719,20120119:1200,22.6,16.6,51,12
22719,20120119:1300,22.7,17.7,59,14.3
22719,20120119:1400,23.6,17.8,54,13.8
22719,20120119:1500,22.6,18.5,66,15.9
22719,20120119:1600,21.7,18.2,70,16
22719,20120119:1700,21,17.5,69,15.1
22719,20120119:1800,20.6,17.6,73,15.6
22719,20120119:1900,19.8,16.9,73,14.8
22719,20120119:2000,19.2,16.4,74,14.5
22719,20120119:2100,18.9,15.6,69,13.1
22719,20120119:2200,18,15.8,78,14.1
22719,20120119:2300,17,15.4,84,14.3
22719,20120120:0000,16.6,15.3,86,14.3
22719,20120120:0100,17.4,15.8,84,14.7
22719,20120120:0200,16.4,15.1,86,14.1
22719,20120120:0300,15.6,14.5,88,13.6
22719,20120120:0400,15.6,14.6,89,13.8
22719,20120120:0500,16,15.1,90,14.4
22719,20120120:0600,16.9,15.7,88,14.9
22719,20120120:0700,18.5,16.7,82,15.4
22719,20120120:0800,20.9,17.8,72,15.7
22719,20120120:0900,21.7,17.9,67,15.3
22719,20120120:1000,21.6,18,69,15.7
22719,20120120:1100,22.1,18.6,70,16.4
22719,20120120:1200,22.1,18.9,72,16.8
22719,20120120:1300,20.6,18.4,80,17
22719,20120120:1400,22.3,19,72,17
22719,20120120:1500,22.5,18.8,69,16.5
22719,20120120:1600,22,18.1,67,15.6
22719,20120120:1700,21.9,18.4,70,16.2
22719,20120120:1800,21.4,18.2,72,16.2
22719,20120120:1900,20.5,18,77,16.3
22719,20120120:2000,19.7,17.2,77,15.6
22719,20120120:2100,19.3,17.3,81,16
22719,20120120:2200,18.9,16.9,81,15.6
22719,20120120:2300,19,17,81,15.7
22719,20120121:0000,18.8,17,83,15.9
22719,20120121:0100,19,16.6,77,14.9
22719,20120121:0200,19.1,17.1,81,15.8
22719,20120121:0300,18.4,16.5,81,15.1
22719,20120121:0400,18.5,17,85,15.9
22719,20120121:0500,18.1,17,89,16.3
22719,20120121:0600,18.3,17.1,88,16.3
22719,20120121:0700,18.5,16.4,80,15
22719,20120121:0800,19.5,16.7,74,14.8
22719,20120121:0900,19.9,17.1,74,15.1
22719,20120121:1000,20.3,17.3,73,15.3
22719,20120121:1100,20.4,16.7,67,14.1
22719,20120121:1200,20.7,17,67,14.4
22719,20120121:1300,21.5,17.1,62,13.9
22719,20120121:1400,22.1,17.7,63,14.7
22719,20120121:1500,21,16.9,64,14
22719,20120121:1600,21.1,17.2,66,14.5
22719,20120121:1700,20.1,16.8,70,14.5
22719,20120121:1800,19.3,16.1,70,13.7
22719,20120121:1900,18.9,15.9,72,13.8
22719,20120121:2000,18.5,15.8,74,13.8
22719,20120121:2100,18.4,15.9,76,14.1
22719,20120121:2200,18.2,15.6,75,13.7
22719,20120121:2300,18.2,15.5,74,13.5
22719,20120122:0000,18,15.3,74,13.3
22719,20120122:0100,18,15.8,78,14.1
22719,20120122:0200,17.9,15.7,78,14
22719,20120122:0300,17.6,15.5,79,13.9
22719,20120122:0400,17.7,15.6,79,14
22719,20120122:0500,17.7,15.9,82,14.6
22719,20120122:0600,17.7,15.8,81,14.4
22719,20120122:0700,18.1,16.1,80,14.6
22719,20120122:0800,18,16.3,83,15.1
22719,20120122:0900,17.7,16.4,87,15.5
22719,20120122:1000,17.6,16.6,90,16
22719,20120122:1100,17.8,16.8,90,16.1
22719,20120122:1200,18.6,17.4,88,16.6
22719,20120122:1300,20.2,17.9,79,16.5
22719,20120122:1400,20.5,18.3,80,16.9
22719,20120122:1500,19.4,17.4,81,16.1
22719,20120122:1600,20.3,17.4,74,15.5
22719,20120122:1700,21.1,17.2,66,14.5
22719,20120122:1800,20.2,16.7,68,14.1
22719,20120122:1900,18,16,80,14.5
22719,20120122:2000,16.1,14.8,86,13.8
22719,20120122:2100,16.8,14.7,79,13.1
22719,20120122:2200,17.1,14.4,73,12.2
22719,20120122:2300,16.7,14,73,11.8
22719,20120123:0000,16.4,12.5,61,8.9
22719,20120123:0100,16.1,12.5,63,9.1
22719,20120123:0200,15.7,11.9,61,8.2
22719,20120123:0300,14.4,11.9,73,9.6
22719,20120123:0400,14.6,11.7,69,9
22719,20120123:0500,14.8,11.5,65,8.3
22719,20120123:0600,15.1,11.2,59,7.2
22719,20120123:0700,15.8,11.6,57,7.3
22719,20120123:0800,16.4,11.6,53,6.8
22719,20120123:0900,16.8,11.4,48,5.8
22719,20120123:1000,17.4,11.4,44,5.1
22719,20120123:1100,18.1,12,44,5.7
22719,20120123:1200,18.5,12.2,43,5.7
22719,20120123:1300,18.9,12.4,42,5.7
22719,20120123:1400,18.9,13.3,49,8
22719,20120123:1500,18.8,13.7,53,9
22719,20120123:1600,18.9,13.9,54,9.4
22719,20120123:1700,18.4,13.6,55,9.2
22719,20120123:1800,17.7,13.1,56,8.8
22719,20120123:1900,16.4,12.2,58,8.1
22719,20120123:2000,16,12.3,62,8.7
22719,20120123:2100,16,12.2,61,8.5
22719,20120123:2200,16,12.2,61,8.5
22719,20120123:2300,16,12.2,61,8.5
22719,20120124:0000,15.5,12.2,66,9.2
22719,20120124:0100,14,11.4,71,8.8
22719,20120124:0200,12.6,10.6,76,8.5
22719,20120124:0300,11.3,9.8,82,8.3
22719,20120124:0400,11.3,9.4,77,7.4
22719,20120124:0500,11.1,9,74,6.7
22719,20120124:0600,12.1,9.2,66,6
22719,20120124:0700,14.4,10.4,57,6
22719,20120124:0800,16.1,10.6,46,4.5
22719,20120124:0900,17.6,11.7,45,5.6
22719,20120124:1000,18.9,12.6,44,6.4
22719,20120124:1100,20,14,48,8.7
22719,20120124:1200,20.4,14.5,49,9.4
22719,20120124:1300,20.3,14.9,53,10.4
22719,20120124:1400,20.8,15.7,56,11.7
22719,20120124:1500,20.8,15.2,52,10.6
22719,20120124:1600,20.3,15.8,60,12.3
22719,20120124:1700,19.9,15.8,63,12.7
22719,20120124:1800,19.3,15.5,65,12.6
22719,20120124:1900,18.3,15,68,12.3
22719,20120124:2000,17.3,14.5,72,12.2
22719,20120124:2100,17.1,14.5,74,12.4
22719,20120124:2200,17.1,14.7,76,12.8
22719,20120124:2300,17,14.8,78,13.1
22719,20120125:0000,17,15.1,81,13.7
22719,20120125:0100,17.2,15.4,82,14.1
22719,20120125:0200,17.3,15.4,81,14
22719,20120125:0300,17,15.3,83,14.1
22719,20120125:0400,16.8,15.3,84,14.1
22719,20120125:0500,16.3,14.9,85,13.8
22719,20120125:0600,16.2,14.8,85,13.7
22719,20120125:0700,17.8,15.9,81,14.5
22719,20120125:0800,19.2,16,70,13.6
22719,20120125:0900,20.1,16.7,69,14.3
22719,20120125:1000,20.2,16.4,66,13.7
22719,20120125:1100,20.6,16.5,64,13.6
22719,20120125:1200,21,16.6,62,13.5
22719,20120125:1300,20.7,16.7,65,13.9
22719,20120125:1400,21,16.9,64,14
22719,20120125:1500,20.8,16.9,66,14.2
22719,20120125:1600,20.5,16.4,64,13.5
22719,20120125:1700,20.2,16.7,68,14.1
22719,20120125:1800,19.4,15.9,68,13.4
22719,20120125:1900,18.4,15.4,71,13.1
22719,20120125:2000,17.4,15.1,77,13.3
